"","","","","LF","","RF","","LR","","RR","","","","","","","","","","","",""
"Cow Number","Robot","Group number","Milk Visit Date Time","Conductivity","Color Code","Conductivity","Color Code","Conductivity","Color Code","Conductivity","Color Code","Attention Failed Milking","Last 24 Hours Milk Production Deviation","SCC Indication","Percentage High Cell Count","Impact of Cell Count on Herd","Last 24 Hours Milk Production","Lactation days","Udder Health Att Count","Milk Destination","Milk Destination Reason","End Date"
"1256","103","5","2024-04-12 07:45","71","","74","","85","","70","","","0.3","604","19","3.2","18.7","201","3","Milktank1","NoReason","2024-04-22"
"1924","103","5","2024-04-11 23:48","72","","73","","74","[] Mastitis","72","","","2.2","125","0","0.6","16.8","242","1","Milktank1","NoReason",""
"1251","103","5","2024-04-11 21:17","68","[M] ","67","[M] ","72","[M] ","67","[M] ","","2.1","170","12","1.2","23.2","228","7","Sewer","MIS","2024-04-19"
"1282","102","5","2024-04-11 21:03","101","[M] Mastitis","79","[M] ","78","[M] ","80","[M] ","","-1.3","88","0","0.3","9.8","585","12","Sewer","MIS","2024-04-14"
"1283","102","5","2024-04-11 21:45","83","[M] ","0","[M] ","73","[M] ","71","[M] ","","3.1","807","65","5.2","20.6","239","27","Sewer","MIS","2024-04-30"
"1333","101","5","2024-04-12 06:00","67","[M] ","73","[M] ","70","[M] ","68","[M] ","","2.0","162","12","1.6","34.8","53","38","Sewer","MIS","2024-04-18"
"1902","102","5","2024-04-12 06:01","71","[M] ","69","[M] ","72","[M] ","81","[M] ","","-1.9","119","25","1.1","28.6","47","32","Sewer","MIS","2024-04-19"
"1928","103","5","2024-04-12 02:14","73","[M] ","64","[M] ","63","[M] ","63","[M] ","","0.7","576","7","2.2","13.4","243","7","Sewer","MIS","2024-04-30"
"1923","103","5","2024-04-12 07:28","91","[M] ","67","[M] ","68","[M] ","68","[M] ","","-1.8","142","0","0.5","11.6","240","19","Sewer","MIS","2024-04-30"
"1463","103","5","2024-04-12 08:42","67","[M] ","69","[M] ","71","[M] ","69","[M] ","","0.6","172","42","1.1","19.8","235","26","Sewer","MIS","2024-04-30"
"2044","103","5","2024-04-12 01:48","66","[M] ","67","[M] ","66","[M] ","68","[M] ","","0.1","60","0","0.5","27.3","55","37","Sewer","MIS","2024-04-18"
