"Cow Number","Lac. no","Calving date","Group ","Sire","Lactation days","No of Calves","Day production","Reproduction","Last heat","Ins. Date","Since Insemination","Sire","Pregnancy Check Date","Days Pregnant","Days To Dry Off","Dry off days","Expected Dry Off Date","Dry off date","Expected calving date"
"AVG","","","","","193","","24.1","","","","","","","","","31","","",""
"SUM","","","","","","","2334.4","","","","","","","","","","","",""
"1045","9","2022-04-11","Dry Cows","REECE","732","1","","Open Cyclic","2022-05-13","2023-05-19","329","AMEN-PP","2024-01-31","","","3","","2024-04-09",""
"1134","9","2024-02-24","Milking Cows","","48","1","30.4","Open","","","","","","","","","","",""
"1177","8","2023-08-19","Dry Cows","PAVLICH","237","1","","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","52","","2024-02-20",""
"1194","7","2024-02-22","Milking Cows","POTHOLE","50","1","39.5","Open","","","","","","","","","","",""
"1200","6","2022-03-12","Dry Cows","STORMATIC SON","762","1","","Open Cyclic","2022-07-04","2023-06-10","307","AUGUSTUS","2024-01-31","","","3","","2024-04-09",""
"1201","9","2023-09-30","Milking Cows","FORK","195","1","14.5","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"1215","8","2024-02-24","Milking Cows","REECE","48","1","26.0","Open","","","","","","","","","","",""
"1220","5","2023-08-20","Dry Cows","","236","1","","Inseminated","","2023-11-10","154","AMEN-PP","","","","72","","2024-01-31",""
"1229","5","2023-08-18","Milking Cows","PONDER","238","1","17.6","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","","","",""
"1231","7","2023-08-24","Milking Cows","","232","1","19.4","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","","","",""
"1232","5","2023-09-01","Milking Cows","LEVI","224","1","16.0","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"1235","5","2023-09-08","Dry Cows","","217","1","","Inseminated","","2023-11-10","154","AMEN-PP","","","","99","","2024-01-04",""
