"Cow Number","Milk Visit Date Time","Visit Result","Away","Last Routing Date Time","Last Routing Direction","Group ","Reproduction","Lactation days"
"2210","2024-04-12 06:03","Successful","05:58","2024-04-12 08:36","d Grazing A","Milking Heifers","Open","20"
"2153","2024-04-12 09:30","Successful","02:30","2024-04-12 09:31","d Grazing A","Milking Heifers","Open","34"
"2152","2024-04-12 08:32","Successful","03:29","2024-04-12 08:34","d Grazing A","Milking Heifers","Open","53"
"2144","2024-04-12 07:49","Successful","04:11","2024-04-12 07:51","d Grazing A","Milking Heifers","Open","52"
"2143","2024-04-12 09:23","Successful","02:37","2024-04-12 09:25","d Grazing A","Milking Heifers","Open","53"
"2140","2024-04-12 10:30","Successful","01:31","2024-04-12 10:30","d Grazing A","Milking Heifers","Open","203"
"2135","2024-04-12 10:14","Successful","01:47","2024-04-12 10:18","d Grazing A","Milking Heifers","Open","247"
"2122","2024-04-12 10:15","Successful","01:45","2024-04-12 10:22","d Grazing A","Milking Heifers","Open","244"
"2121","2024-04-12 06:34","Successful","05:26","2024-04-12 07:58","d Grazing A","Milking Cows","Open","54"
"2120","2024-04-12 08:05","Successful","03:55","2024-04-12 08:07","d Grazing A","Milking Cows","Open","32"
"2119","2024-04-12 06:51","Successful","05:09","2024-04-12 07:46","d Grazing A","Milking Cows","Open","36"
"2118","2024-04-12 09:53","Successful","02:07","2024-04-12 09:54","d Grazing A","Milking Heifers","Pregnant","213"
"2117","2024-04-12 07:27","Successful","04:33","2024-04-12 07:46","d Grazing A","Milking Heifers","Pregnant","407"
"2116","2024-04-12 04:39","Successful","07:21","2024-04-12 08:12","d Grazing A","Milking Cows","Open","51"
"2110","2024-04-12 01:10","Successful","10:50","2024-04-12 08:07","d Grazing A","Milking Heifers","Open","238"
"2109","2024-04-12 11:41","Successful","00:20","2024-04-12 11:45","d Grazing A","Milking Heifers","Open","199"
"2108","2024-04-12 07:50","Successful","04:11","2024-04-12 07:52","d Grazing A","Milking Heifers","Pregnant","410"
"2105","2024-04-12 07:26","Successful","04:34","2024-04-12 07:46","d Grazing A","Milking Cows","Open","51"
"2100","2024-04-12 07:24","Successful","04:37","2024-04-12 07:48","d Grazing A","Milking Cows","Open","37"
