"Cow Number","Lac. no","Calving date","Group ","Mother LifeNo","Sire","Lactation days","No of Calves","Day production","Reproduction","Last heat","Ins. Date","Since Insemination","Sire","Pregnancy Check Date","Days Pregnant","Days To Dry Off","Dry off days","Expected Dry Off Date","Dry off date","Expected calving date"
"AVG","","","","","","211","","22.7","","","","","","","","","32","","",""
"SUM","","","","","","","","3535.5","","","","","","","","","","","",""
"1045","9","2022-04-11","Dry Cows","","REECE","732","1","","Open Cyclic","2022-05-13","2023-05-19","329","AMEN-PP","2024-01-31","","","3","","2024-04-09",""
"1134","9","2024-02-24","Milking Cows","","","48","1","30.4","Open","","","","","","","","","","",""
"1177","8","2023-08-19","Dry Cows","","PAVLICH","237","1","","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","52","","2024-02-20",""
"1246","5","2023-08-18","Dry Cows","AU 1160","","238","1","","Inseminated","","2023-11-09","155","AMEN-PP","","","","72","","2024-01-31",""
"1251","5","2023-08-28","Milking Cows","AU 1153","","228","1","23.2","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","","","",""
"1220","5","2023-08-20","Dry Cows","AU 1178","","236","1","","Inseminated","","2023-11-10","154","AMEN-PP","","","","72","","2024-01-31",""
"1232","5","2023-09-01","Milking Cows","AU 1032","LEVI","224","1","16.0","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"1229","5","2023-08-18","Milking Cows","AU 1091","PONDER","238","1","17.6","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","","","",""
"1260","4","2022-08-26","Dry Cows","AU 1042","ARMITAGE","595","1","","Open","","2023-06-11","306","AMEN-PP","2024-01-31","","","3","","2024-04-09",""
"1235","5","2023-09-08","Dry Cows","AU 1178","","217","1","","Inseminated","","2023-11-10","154","AMEN-PP","","","","99","","2024-01-04",""
"1266","6","2024-02-20","Milking Cows","AU 1121","SOTO","52","1","45.9","Open","","","","","","","","","","",""
"1270","6","2024-03-14","Milking Cows","AU 1145","JOSUPER","29","1","30.5","Open","","","","","","","","","","",""
"1269","6","2024-02-27","Milking Cows","AU 1144","JOSUPER","45","1","33.5","Open","","","","","","","","","","",""
"1271","4","2023-08-12","Dry Cows","AU 1125","JOSUPER","244","1","","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","3","","2024-04-09",""
"1281","5","2024-03-16","Milking Cows","AU 1157","JOSUPER","27","2","43.4","Open","","","","","","","","","","",""
"1200","6","2022-03-12","Dry Cows","","STORMATIC SON","762","1","","Open Cyclic","2022-07-04","2023-06-10","307","AUGUSTUS","2024-01-31","","","3","","2024-04-09",""
