"Cow Number","Robot","Group number","Lac. no","Lactation days","Day production","Total Intake","Programmed Total","Total Rest","Days Pregnant","Att. Too Low","Fat indication","Protein indication","Fat/Protein Ratio","Fat/Protein remark","Lactose indication","Impact of Cell Count on Herd","SCC Indication"
"AVG","","","","190","","7.60","8.58","0.94","","","4.72","3.30","1.43","","","",""
"SUM","","","","29644","","1186.14","1338.60","147.12","","","","","","","","",""
"2137","103","4","1","218","9.2","7.95","7.00","0.64","132","x","5.19","3.19","1.63","","","0.3","79"
"2117","102","4","1","407","9.5","6.56","7.00","1.80","154","","5.99","3.61","1.66","","","0.4","151"
"2127","103","4","1","252","9.7","5.46","7.00","1.16","135","","4.47","3.48","1.28","","","0.6","204"
"1282","102","5","5","585","9.8","4.92","7.00","1.47","119","","6.20","3.66","1.69","","","0.3","88"
"2139","103","4","1","248","10.7","8.68","7.00","0.10","155","","5.12","3.57","1.43","","","0.2","65"
"2144","102","4","1","52","10.9","3.02","10.00","6.98","","","4.61","3.55","1.30","","","0.6","148"
"1918","102","5","2","235","11.5","6.10","7.00","3.45","154","","4.58","3.16","1.45","","","0.3","77"
"2204","101","4","1","55","11.5","8.05","10.00","4.60","","","4.48","3.28","1.37","","","0.3","81"
"1923","103","5","3","240","11.6","3.03","7.00","3.97","","","5.65","3.31","1.71","","","0.5","142"
"1337","101","5","4","408","11.9","5.83","7.00","0.07","154","","5.85","3.59","1.63","","","0.3","95"
"2136","103","4","1","195","12.0","3.15","7.00","0.75","154","","4.22","3.08","1.37","","","0.2","53"
"1328","102","5","4","408","12.3","3.56","7.00","3.44","154","","5.88","3.78","1.56","","","0.4","108"
"2108","103","4","1","410","12.3","5.64","7.00","1.36","154","","5.51","3.41","1.62","","","0.1","29"
"2026","103","4","1","602","13.0","7.02","7.00","0.15","129","","4.67","3.54","1.32","","","0.3","86"
"2140","103","4","1","203","13.3","8.79","7.00","1.19","","","5.82","3.83","1.52","","","0.6","130"
"1928","103","5","2","243","13.4","5.51","7.00","1.49","155","","6.69","3.58","1.87","","","2.2","576"
"2135","103","4","1","247","13.6","8.68","7.00","0.10","","","5.52","3.55","1.55","","","0.5","120"
"2134","101","4","1","249","14.1","6.91","7.00","0.19","","","4.79","3.16","1.52","","","0.1","33"
"2141","103","4","1","244","14.1","6.03","7.00","0.24","","","4.83","3.05","1.58","","","0.2","48"
"2219","102","4","1","53","14.4","7.88","10.00","1.22","","","3.88","3.13","1.24","","","0.1","43"
"1201","101","5","9","195","14.5","6.91","7.00","0.14","","","4.75","3.03","1.57","","","0.3","68"
"1469","102","5","2","595","14.6","6.35","7.00","1.00","154","","6.90","3.97","1.74","","","0.6","152"
"1273","103","5","5","411","14.7","6.62","7.00","0.20","133","","5.84","3.86","1.51","","","0.3","72"
"2129","102","4","1","243","14.9","7.15","7.00","0.32","","","4.39","3.17","1.38","","","0.1","14"
"2102","102","4","1","421","15.0","3.51","7.00","0.23","155","","5.20","3.86","1.35","","","0.8","171"
